id,pred_raw,subject,subcategory,error
generation-for-nlp-425,사회탐구 | 정치와 법,사회탐구,정치와 법,
generation-for-nlp-460,사회탐구 | 생활과 윤리,사회탐구,생활과 윤리,
generation-for-nlp-461,사회탐구 | 세계사,사회탐구,세계사,
generation-for-nlp-463,사회탐구 | 한국사,사회탐구,한국사,
generation-for-nlp-464,사회탐구 | 동아시아사,사회탐구,동아시아사,
generation-for-nlp-465,사회탐구 | 동아시아사,사회탐구,동아시아사,
generation-for-nlp-466,사회탐구 | 동아시아사,사회탐구,동아시아사,
generation-for-nlp-467,사회탐구 | 동아시아사,사회탐구,동아시아사,
generation-for-nlp-469,사회탐구 | 세계사,사회탐구,세계사,
generation-for-nlp-470,사회탐구 | 동아시아사,사회탐구,동아시아사,
generation-for-nlp-472,사회탐구 | 동아시아사,사회탐구,동아시아사,
generation-for-nlp-473,사회탐구 | 동아시아사,사회탐구,동아시아사,
generation-for-nlp-475,사회탐구 | 동아시아사,사회탐구,동아시아사,
generation-for-nlp-476,사회탐구 | 세계사,사회탐구,세계사,
generation-for-nlp-477,사회탐구 | 세계사,사회탐구,세계사,
generation-for-nlp-479,사회탐구 | 동아시아사,사회탐구,동아시아사,
generation-for-nlp-480,국어 | 문학,국어,문학,
generation-for-nlp-481,사회탐구 | 정치와 법,사회탐구,정치와 법,
generation-for-nlp-482,사회탐구 | 동아시아사,사회탐구,동아시아사,
generation-for-nlp-483,사회탐구 | 동아시아사,사회탐구,동아시아사,
generation-for-nlp-484,정치와 법 |,정치와 법,,
generation-for-nlp-486,사회탐구 | 동아시아사,사회탐구,동아시아사,
generation-for-nlp-487,사회탐구 | 동아시아사,사회탐구,동아시아사,
generation-for-nlp-488,사회탐구 | 동아시아사,사회탐구,동아시아사,
generation-for-nlp-490,사회탐구 | 정치와 법,사회탐구,정치와 법,
generation-for-nlp-491,사회탐구 | 동아시아사,사회탐구,동아시아사,
generation-for-nlp-492,사회탐구 | 세계사,사회탐구,세계사,
generation-for-nlp-493,사회탐구 | 동아시아사,사회탐구,동아시아사,
generation-for-nlp-494,사회탐구 | 동아시아사,사회탐구,동아시아사,
generation-for-nlp-495,사회탐구 | 세계사,사회탐구,세계사,
generation-for-nlp-496,사회탐구 | 정치와 법,사회탐구,정치와 법,
generation-for-nlp-498,사회탐구 | 동아시아사,사회탐구,동아시아사,
generation-for-nlp-499,사회탐구 | 동아시아사,사회탐구,동아시아사,
generation-for-nlp-500,정치와 법 |,정치와 법,,
generation-for-nlp-501,사회탐구 | 동아시아사,사회탐구,동아시아사,
generation-for-nlp-502,사회탐구 | 동아시아사,사회탐구,동아시아사,
generation-for-nlp-505,사회탐구 | 동아시아사,사회탐구,동아시아사,
generation-for-nlp-506,사회탐구 | 동아시아사,사회탐구,동아시아사,
generation-for-nlp-507,사회탐구 | 동아시아사,사회탐구,동아시아사,
generation-for-nlp-508,사회탐구,,,
generation-for-nlp-509,사회탐구 | 정치와 법,사회탐구,정치와 법,
generation-for-nlp-510,사회탐구 | 동아시아사,사회탐구,동아시아사,
generation-for-nlp-512,사회탐구 | 동아시아사,사회탐구,동아시아사,
generation-for-nlp-513,사회탐구 | 동아시아사,사회탐구,동아시아사,
generation-for-nlp-514,국어 | 문학,국어,문학,
generation-for-nlp-515,사회탐구 | 동아시아사,사회탐구,동아시아사,
generation-for-nlp-516,국어 | 문학,국어,문학,
generation-for-nlp-517,사회탐구 | 윤리와 사상,사회탐구,윤리와 사상,
generation-for-nlp-518,사회탐구 | 세계사,사회탐구,세계사,
generation-for-nlp-519,사회탐구 | 경제,사회탐구,경제,
generation-for-nlp-520,국어 | 문학,국어,문학,
generation-for-nlp-521,사회탐구 | 정치와 법,사회탐구,정치와 법,
generation-for-nlp-522,사회탐구 | 생활과 윤리,사회탐구,생활과 윤리,
generation-for-nlp-523,사회탐구 | 윤리와 사상,사회탐구,윤리와 사상,
generation-for-nlp-525,사회탐구 | 윤리와 사상,사회탐구,윤리와 사상,
generation-for-nlp-526,사회탐구 | 경제,사회탐구,경제,
generation-for-nlp-527,사회탐구 | 윤리와 사상,사회탐구,윤리와 사상,
generation-for-nlp-529,사회탐구 | 동아시아사,사회탐구,동아시아사,
generation-for-nlp-530,사회탐구 | 세계사,사회탐구,세계사,
generation-for-nlp-531,사회탐구 | 윤리와 사상,사회탐구,윤리와 사상,
generation-for-nlp-532,사회탐구 | 동아시아사,사회탐구,동아시아사,
generation-for-nlp-533,국어 | 문학,국어,문학,
generation-for-nlp-534,사회탐구 | 윤리와 사상,사회탐구,윤리와 사상,
generation-for-nlp-535,사회탐구 | 윤리와 사상,사회탐구,윤리와 사상,
generation-for-nlp-537,사회탐구 | 윤리와 사상,사회탐구,윤리와 사상,
generation-for-nlp-538,사회탐구 | 윤리와 사상,사회탐구,윤리와 사상,
generation-for-nlp-539,사회탐구 | 생활과 윤리,사회탐구,생활과 윤리,
generation-for-nlp-540,국어 | 문학,국어,문학,
generation-for-nlp-541,사회탐구 | 동아시아사,사회탐구,동아시아사,
generation-for-nlp-543,윤리와 사상 |,윤리와 사상,,
generation-for-nlp-544,사회탐구 | 동아시아사,사회탐구,동아시아사,
generation-for-nlp-545,사회탐구 | 정치와 법,사회탐구,정치와 법,
generation-for-nlp-546,사회탐구 | 윤리와 사상,사회탐구,윤리와 사상,
generation-for-nlp-547,사회탐구 | 윤리와 사상,사회탐구,윤리와 사상,
generation-for-nlp-548,국어 | 문학,국어,문학,
generation-for-nlp-550,사회탐구 | 경제,사회탐구,경제,
generation-for-nlp-551,사회탐구 | 정치와 법,사회탐구,정치와 법,
generation-for-nlp-552,사회탐구 | 정치와 법,사회탐구,정치와 법,
generation-for-nlp-553,국어 | 문학,국어,문학,
generation-for-nlp-554,사회탐구 | 정치와 법,사회탐구,정치와 법,
generation-for-nlp-555,사회탐구 | 윤리와 사상,사회탐구,윤리와 사상,
generation-for-nlp-556,사회탐구 | 정치와 법,사회탐구,정치와 법,
generation-for-nlp-557,사회탐구 | 세계사,사회탐구,세계사,
generation-for-nlp-558,사회탐구 | 생활과 윤리,사회탐구,생활과 윤리,
generation-for-nlp-559,사회탐구 | 세계사,사회탐구,세계사,
generation-for-nlp-560,사회탐구 | 동아시아사,사회탐구,동아시아사,
generation-for-nlp-561,사회탐구 | 윤리와 사상,사회탐구,윤리와 사상,
generation-for-nlp-562,사회탐구 | 정치와 법,사회탐구,정치와 법,
generation-for-nlp-563,사회탐구 | 정치와 법,사회탐구,정치와 법,
generation-for-nlp-564,사회탐구 | 윤리와 사상,사회탐구,윤리와 사상,
generation-for-nlp-565,사회탐구 | 동아시아사,사회탐구,동아시아사,
generation-for-nlp-566,사회탐구 | 동아시아사,사회탐구,동아시아사,
generation-for-nlp-567,사회탐구 | 윤리와 사상,사회탐구,윤리와 사상,
generation-for-nlp-568,국어 | 문학,국어,문학,
generation-for-nlp-569,사회탐구 | 세계사,사회탐구,세계사,
generation-for-nlp-570,사회탐구 | 세계사,사회탐구,세계사,
generation-for-nlp-571,사회탐구 | 세계사,사회탐구,세계사,
generation-for-nlp-573,사회탐구 | 윤리와 사상,사회탐구,윤리와 사상,
generation-for-nlp-574,사회탐구 | 세계사,사회탐구,세계사,
generation-for-nlp-576,사회탐구 | 동아시아사,사회탐구,동아시아사,
generation-for-nlp-577,사회탐구 | 정치와 법,사회탐구,정치와 법,
generation-for-nlp-578,사회탐구 | 동아시아사,사회탐구,동아시아사,
generation-for-nlp-579,사회탐구 | 정치와 법,사회탐구,정치와 법,
generation-for-nlp-580,사회탐구 | 세계사,사회탐구,세계사,
generation-for-nlp-581,사회탐구 | 윤리와 사상,사회탐구,윤리와 사상,
generation-for-nlp-582,사회탐구 | 정치와 법,사회탐구,정치와 법,
generation-for-nlp-583,사회탐구 | 정치와 법,사회탐구,정치와 법,
generation-for-nlp-584,사회탐구 | 동아시아사,사회탐구,동아시아사,
generation-for-nlp-585,사회탐구 | 윤리와 사상,사회탐구,윤리와 사상,
generation-for-nlp-586,사회탐구 | 윤리와 사상,사회탐구,윤리와 사상,
generation-for-nlp-587,사회탐구 | 정치와 법,사회탐구,정치와 법,
generation-for-nlp-589,사회탐구 | 윤리와 사상,사회탐구,윤리와 사상,
generation-for-nlp-590,사회탐구 | 동아시아사,사회탐구,동아시아사,
generation-for-nlp-591,사회탐구 | 정치와 법,사회탐구,정치와 법,
generation-for-nlp-592,사회탐구 | 윤리와 사상,사회탐구,윤리와 사상,
generation-for-nlp-593,사회탐구 | 윤리와 사상,사회탐구,윤리와 사상,
generation-for-nlp-595,국어 | 문학,국어,문학,
generation-for-nlp-597,사회탐구 | 경제,사회탐구,경제,
generation-for-nlp-598,사회탐구 | 윤리와 사상,사회탐구,윤리와 사상,
generation-for-nlp-599,사회탐구 | 정치와 법,사회탐구,정치와 법,
generation-for-nlp-600,정치와 법 |,정치와 법,,
generation-for-nlp-601,사회탐구 | 동아시아사,사회탐구,동아시아사,
generation-for-nlp-602,사회탐구 | 세계사,사회탐구,세계사,
generation-for-nlp-603,사회탐구 | 정치와 법,사회탐구,정치와 법,
generation-for-nlp-604,국어 | 문학,국어,문학,
generation-for-nlp-605,사회탐구 | 세계사,사회탐구,세계사,
generation-for-nlp-607,정치와 법 | 입헌주의,정치와 법,입헌주의,
generation-for-nlp-608,사회탐구 | 윤리와 사상,사회탐구,윤리와 사상,
generation-for-nlp-611,사회탐구 | 윤리와 사상,사회탐구,윤리와 사상,
generation-for-nlp-612,사회탐구 | 윤리와 사상,사회탐구,윤리와 사상,
generation-for-nlp-613,사회탐구 | 동아시아사,사회탐구,동아시아사,
generation-for-nlp-615,사회탐구 | 윤리와 사상,사회탐구,윤리와 사상,
generation-for-nlp-616,사회탐구 | 윤리와 사상,사회탐구,윤리와 사상,
generation-for-nlp-617,사회탐구 | 정치와 법,사회탐구,정치와 법,
generation-for-nlp-618,사회탐구 | 세계사,사회탐구,세계사,
generation-for-nlp-619,국어 | 문학,국어,문학,
generation-for-nlp-620,사회탐구 | 정치와 법,사회탐구,정치와 법,
generation-for-nlp-624,사회탐구 | 정치와 법,사회탐구,정치와 법,
generation-for-nlp-625,사회탐구 | 경제,사회탐구,경제,
generation-for-nlp-627,사회탐구 | 정치와 법,사회탐구,정치와 법,
generation-for-nlp-628,사회탐구 | 윤리와 사상,사회탐구,윤리와 사상,
generation-for-nlp-629,국어 | 독서,국어,독서,
generation-for-nlp-630,사회탐구 | 정치와 법,사회탐구,정치와 법,
generation-for-nlp-631,사회탐구 | 세계사,사회탐구,세계사,
generation-for-nlp-632,사회탐구 | 정치와 법,사회탐구,정치와 법,
generation-for-nlp-634,사회탐구 | 윤리와 사상,사회탐구,윤리와 사상,
generation-for-nlp-637,사회탐구 | 윤리와 사상,사회탐구,윤리와 사상,
generation-for-nlp-638,사회탐구 | 윤리와 사상,사회탐구,윤리와 사상,
generation-for-nlp-639,사회탐구 | 정치와 법,사회탐구,정치와 법,
generation-for-nlp-641,사회탐구 | 윤리와 사상,사회탐구,윤리와 사상,
generation-for-nlp-644,사회탐구 | 정치와 법,사회탐구,정치와 법,
generation-for-nlp-647,사회탐구 | 세계사,사회탐구,세계사,
generation-for-nlp-650,사회탐구 | 세계사,사회탐구,세계사,
generation-for-nlp-651,사회탐구 | 민족주의,사회탐구,민족주의,
generation-for-nlp-652,사회탐구 | 경제,사회탐구,경제,
generation-for-nlp-654,사회탐구 | 경제,사회탐구,경제,
generation-for-nlp-655,사회탐구 | 세계사,사회탐구,세계사,
generation-for-nlp-656,사회탐구 | 윤리와 사상,사회탐구,윤리와 사상,
generation-for-nlp-657,사회탐구 | 동아시아사,사회탐구,동아시아사,
generation-for-nlp-658,사회탐구 | 정치와 법,사회탐구,정치와 법,
generation-for-nlp-659,사회탐구 | 세계사,사회탐구,세계사,
generation-for-nlp-661,사회탐구 | 윤리와 사상,사회탐구,윤리와 사상,
generation-for-nlp-662,사회탐구 | 생활과 윤리,사회탐구,생활과 윤리,
generation-for-nlp-663,사회탐구 | 생활과 윤리,사회탐구,생활과 윤리,
generation-for-nlp-664,사회탐구 | 경제,사회탐구,경제,
generation-for-nlp-666,사회탐구 | 정치와 법,사회탐구,정치와 법,
generation-for-nlp-667,사회탐구 | 동아시아사,사회탐구,동아시아사,
generation-for-nlp-668,사회탐구 | 생활과 윤리,사회탐구,생활과 윤리,
generation-for-nlp-670,사회탐구 | 생활과 윤리,사회탐구,생활과 윤리,
generation-for-nlp-672,사회탐구 | 정치와 법,사회탐구,정치와 법,
generation-for-nlp-673,사회탐구 | 정치와 법,사회탐구,정치와 법,
generation-for-nlp-674,정치와 법 |,정치와 법,,
generation-for-nlp-675,정치와 법 | 정치와 법,정치와 법,정치와 법,
generation-for-nlp-676,정치와 법 | 4,정치와 법,4,
generation-for-nlp-677,정치와 법 |,정치와 법,,
generation-for-nlp-678,정치와 법 | 권력분립,정치와 법,권력분립,
generation-for-nlp-679,정치와 법,,,
generation-for-nlp-680,정치와 법 | 정치와 법,정치와 법,정치와 법,
generation-for-nlp-682,경제 | 경제,경제,경제,
generation-for-nlp-683,경제 | 경제,경제,경제,
generation-for-nlp-684,경제 | GDP,경제,GDP,
generation-for-nlp-685,사회탐구 | 경제,사회탐구,경제,
generation-for-nlp-686,사회탐구 | 경제,사회탐구,경제,
generation-for-nlp-687,사회탐구 | 경제,사회탐구,경제,
generation-for-nlp-688,경제 | 경제,경제,경제,
generation-for-nlp-689,경제 | 경제,경제,경제,
generation-for-nlp-690,경제 | 통화 공급량,경제,통화 공급량,
generation-for-nlp-691,경제 | GDP,경제,GDP,
generation-for-nlp-692,경제 | 재정 정책,경제,재정 정책,
generation-for-nlp-693,사회탐구 | 경제,사회탐구,경제,
generation-for-nlp-694,경제 | 경제,경제,경제,
generation-for-nlp-695,사회탐구 | 경제,사회탐구,경제,
generation-for-nlp-696,경제 | 통화론,경제,통화론,
generation-for-nlp-697,경제 | 경제,경제,경제,
generation-for-nlp-698,경제 | 경제,경제,경제,
generation-for-nlp-699,경제 | GDP,경제,GDP,
generation-for-nlp-701,경제 | 재정 및 통화 정책,경제,재정 및 통화 정책,
generation-for-nlp-703,사회탐구 | 경제,사회탐구,경제,
generation-for-nlp-704,사회탐구 | 경제,사회탐구,경제,
generation-for-nlp-705,경제 | 화폐 공급량,경제,화폐 공급량,
generation-for-nlp-706,사회탐구 | 경제,사회탐구,경제,
generation-for-nlp-708,경제 | 통화 공급 감소의 영향,경제,통화 공급 감소의 영향,
generation-for-nlp-710,경제 | 초과 준비금,경제,초과 준비금,
generation-for-nlp-712,경제 | 경제,경제,경제,
generation-for-nlp-713,경제 | 경제,경제,경제,
generation-for-nlp-714,경제 | 달러 가치,경제,달러 가치,
generation-for-nlp-715,경제 | 소비자 물가 지수,경제,소비자 물가 지수,
generation-for-nlp-716,경제 | 통화 공급이 증가할 것이다.,경제,통화 공급이 증가할 것이다.,
generation-for-nlp-717,경제 | 대출 가능한 자금의 수요와 공급,경제,대출 가능한 자금의 수요와 공급,
generation-for-nlp-718,경제 | 경제,경제,경제,
generation-for-nlp-719,사회탐구 | 생활과 윤리,사회탐구,생활과 윤리,
generation-for-nlp-720,사회탐구 | 경제,사회탐구,경제,
generation-for-nlp-721,경제 | 경제,경제,경제,
generation-for-nlp-722,경제 | 경제,경제,경제,
generation-for-nlp-723,사회탐구 | 경제,사회탐구,경제,
generation-for-nlp-724,사회탐구 | 경제,사회탐구,경제,
generation-for-nlp-725,사회탐구 | 생활과 윤리,사회탐구,생활과 윤리,
generation-for-nlp-726,사회탐구 | 경제,사회탐구,경제,
generation-for-nlp-727,경제,,,
generation-for-nlp-728,경제 | 경제,경제,경제,
generation-for-nlp-729,사회탐구 | 경제,사회탐구,경제,
generation-for-nlp-730,사회탐구 | 경제,사회탐구,경제,
generation-for-nlp-732,경제 | 총 수요의 증가,경제,총 수요의 증가,
generation-for-nlp-733,경제 | 경제,경제,경제,
generation-for-nlp-734,경제 | 화폐 수량설,경제,화폐 수량설,
generation-for-nlp-735,사회탐구 | 경제,사회탐구,경제,
generation-for-nlp-737,경제,,,
generation-for-nlp-738,사회탐구 | 경제,사회탐구,경제,
generation-for-nlp-739,경제 | 통화 공급량,경제,통화 공급량,
generation-for-nlp-740,경제 | 경제,경제,경제,
generation-for-nlp-742,경제 | 경제,경제,경제,
generation-for-nlp-743,경제 | 물가,경제,물가,
generation-for-nlp-744,경제 | GDP,경제,GDP,
generation-for-nlp-745,사회탐구 | 경제,사회탐구,경제,
generation-for-nlp-746,경제,,,
generation-for-nlp-747,경제 | GDP,경제,GDP,
generation-for-nlp-749,사회탐구 | 경제,사회탐구,경제,
generation-for-nlp-750,경제 | 경제,경제,경제,
generation-for-nlp-751,경제 | GDP 디플레이터,경제,GDP 디플레이터,
generation-for-nlp-752,경제 | 경제,경제,경제,
generation-for-nlp-753,경제 | 경제,경제,경제,
generation-for-nlp-754,경제 | 유로화 가치가 상승했다.,경제,유로화 가치가 상승했다.,
generation-for-nlp-755,경제 | 경제,경제,경제,
generation-for-nlp-756,경제 | 실질 생산량을 늘리고 물가 수준을 높인다.,경제,실질 생산량을 늘리고 물가 수준을 높인다.,
generation-for-nlp-757,경제 | 경제,경제,경제,
generation-for-nlp-758,사회탐구 | 경제,사회탐구,경제,
generation-for-nlp-759,사회탐구 | 경제,사회탐구,경제,
generation-for-nlp-761,국어 | 화법과 작문,국어,화법과 작문,
generation-for-nlp-762,사회탐구 | 경제,사회탐구,경제,
generation-for-nlp-763,경제 | 경제,경제,경제,
generation-for-nlp-764,경제 | 경제,경제,경제,
generation-for-nlp-765,경제 | 비교 우위,경제,비교 우위,
generation-for-nlp-767,사회탐구 | 경제,사회탐구,경제,
generation-for-nlp-768,경제 | 물가,경제,물가,
generation-for-nlp-769,경제 | 통화 공급량,경제,통화 공급량,
generation-for-nlp-770,사회탐구 | 경제,사회탐구,경제,
generation-for-nlp-771,경제 | 경제,경제,경제,
generation-for-nlp-772,국어 | 화법과 작문,국어,화법과 작문,
generation-for-nlp-773,사회탐구 | 경제,사회탐구,경제,
generation-for-nlp-774,사회탐구 | 경제,사회탐구,경제,
generation-for-nlp-778,사회탐구 | 경제,사회탐구,경제,
generation-for-nlp-780,경제 | 탄력성,경제,탄력성,
generation-for-nlp-781,경제 | 한계 생산성,경제,한계 생산성,
generation-for-nlp-782,경제 | 임금 결정,경제,임금 결정,
generation-for-nlp-783,경제 | 탄력성,경제,탄력성,
generation-for-nlp-784,경제 | 경제,경제,경제,
generation-for-nlp-786,경제 | 가격 하한제,경제,가격 하한제,
generation-for-nlp-787,경제 | 수요와 공급,경제,수요와 공급,
generation-for-nlp-788,사회탐구 | 경제,사회탐구,경제,
generation-for-nlp-790,경제 | 수요 독점,경제,수요 독점,
generation-for-nlp-791,경제 | 희소성,경제,희소성,
generation-for-nlp-792,경제 | 경제,경제,경제,
generation-for-nlp-794,사회탐구 | 경제,사회탐구,경제,
generation-for-nlp-795,경제 | 한계 효용 감소,경제,한계 효용 감소,
generation-for-nlp-796,경제 | 외부성,경제,외부성,
generation-for-nlp-797,경제 | GDP,경제,GDP,
generation-for-nlp-798,경제 | 경제,경제,경제,
generation-for-nlp-799,사회탐구 | 경제,사회탐구,경제,
generation-for-nlp-800,사회탐구 | 생활과 윤리,사회탐구,생활과 윤리,
generation-for-nlp-801,사회탐구 | 경제,사회탐구,경제,
generation-for-nlp-802,사회탐구 | 경제,사회탐구,경제,
generation-for-nlp-803,경제 | 경제,경제,경제,
generation-for-nlp-805,사회탐구 | 경제,사회탐구,경제,
generation-for-nlp-806,경제 | 기회 비용,경제,기회 비용,
generation-for-nlp-807,사회탐구 | 경제,사회탐구,경제,
generation-for-nlp-808,경제 | 한계효용 균등의 원칙,경제,한계효용 균등의 원칙,
generation-for-nlp-810,경제 | 경제,경제,경제,
generation-for-nlp-812,경제 | 독점 경쟁,경제,독점 경쟁,
generation-for-nlp-813,사회탐구 | 경제,사회탐구,경제,
generation-for-nlp-814,경제 | 세금 부담,경제,세금 부담,
generation-for-nlp-815,경제 | 경제,경제,경제,
generation-for-nlp-816,사회탐구 | 경제,사회탐구,경제,
generation-for-nlp-817,사회탐구 | 윤리와 사상,사회탐구,윤리와 사상,
generation-for-nlp-818,국어 | 화법과 작문,국어,화법과 작문,
generation-for-nlp-819,국어 | 문학,국어,문학,
generation-for-nlp-820,사회탐구 | 윤리와 사상,사회탐구,윤리와 사상,
generation-for-nlp-821,국어 | 화법과 작문,국어,화법과 작문,
generation-for-nlp-822,윤리와 사상 |,윤리와 사상,,
generation-for-nlp-823,사회탐구 | 생활과 윤리,사회탐구,생활과 윤리,
generation-for-nlp-824,국어 | 화법과 작문,국어,화법과 작문,
generation-for-nlp-825,사회탐구 | 생활과 윤리,사회탐구,생활과 윤리,
generation-for-nlp-826,국어 | 화법과 작문,국어,화법과 작문,
generation-for-nlp-827,사회탐구 | 생활과 윤리,사회탐구,생활과 윤리,
generation-for-nlp-828,국어 | 화법과 작문,국어,화법과 작문,
generation-for-nlp-829,윤리와 사상 |,윤리와 사상,,
generation-for-nlp-830,국어 | 독서,국어,독서,
generation-for-nlp-831,사회탐구 | 생활과 윤리,사회탐구,생활과 윤리,
generation-for-nlp-832,국어 | 화법과 작문,국어,화법과 작문,
generation-for-nlp-833,사회·문화 | 사회·문화,사회·문화,사회·문화,
generation-for-nlp-835,국어 | 문학,국어,문학,
generation-for-nlp-836,국어 | 화법과 작문,국어,화법과 작문,
generation-for-nlp-837,국어 | 화법과 작문,국어,화법과 작문,
generation-for-nlp-838,국어 | 화법과 작문,국어,화법과 작문,
generation-for-nlp-839,국어 | 화법과 작문,국어,화법과 작문,
generation-for-nlp-840,국어 | 독서,국어,독서,
generation-for-nlp-841,국어 | 화법과 작문,국어,화법과 작문,
generation-for-nlp-842,국어 | 화법과 작문,국어,화법과 작문,
generation-for-nlp-843,사회탐구 | 생활과 윤리,사회탐구,생활과 윤리,
generation-for-nlp-844,사회탐구 | 생활과 윤리,사회탐구,생활과 윤리,
generation-for-nlp-845,국어 | 언어와 매체,국어,언어와 매체,
generation-for-nlp-846,국어 | 언어와 매체,국어,언어와 매체,
generation-for-nlp-847,국어 | 언어와 매체,국어,언어와 매체,
generation-for-nlp-848,사회탐구 | 생활과 윤리,사회탐구,생활과 윤리,
generation-for-nlp-849,국어 | 문학,국어,문학,
generation-for-nlp-850,국어 | 문학,국어,문학,
generation-for-nlp-851,국어 | 화법과 작문,국어,화법과 작문,
generation-for-nlp-852,국어 | 문학,국어,문학,
generation-for-nlp-853,국어 | 언어와 매체,국어,언어와 매체,
generation-for-nlp-854,국어 | 문학,국어,문학,
generation-for-nlp-855,국어 | 문학,국어,문학,
generation-for-nlp-858,국어 | 문학,국어,문학,
generation-for-nlp-859,국어 | 화법과 작문,국어,화법과 작문,
generation-for-nlp-860,국어 | 화법과 작문,국어,화법과 작문,
generation-for-nlp-861,국어 | 독서,국어,독서,
generation-for-nlp-862,국어 | 언어와 매체,국어,언어와 매체,
generation-for-nlp-863,국어 | 화법과 작문,국어,화법과 작문,
generation-for-nlp-864,국어 | 화법과 작문,국어,화법과 작문,
generation-for-nlp-865,국어 | 화법과 작문,국어,화법과 작문,
generation-for-nlp-866,사회탐구 | 사회·문화,사회탐구,사회·문화,
generation-for-nlp-867,국어 | 문학,국어,문학,
generation-for-nlp-868,국어 | 문학,국어,문학,
generation-for-nlp-869,국어 | 화법과 작문,국어,화법과 작문,
generation-for-nlp-870,국어 | 화법과 작문,국어,화법과 작문,
generation-for-nlp-871,국어 | 화법과 작문,국어,화법과 작문,
generation-for-nlp-872,국어 | 문학,국어,문학,
generation-for-nlp-873,국어 | 언어와 매체,국어,언어와 매체,
generation-for-nlp-874,사회탐구 | 윤리와 사상,사회탐구,윤리와 사상,
generation-for-nlp-875,국어 | 화법과 작문,국어,화법과 작문,
generation-for-nlp-876,국어 | 화법과 작문,국어,화법과 작문,
generation-for-nlp-877,국어 | 독서,국어,독서,
generation-for-nlp-879,국어 | 화법과 작문,국어,화법과 작문,
generation-for-nlp-880,윤리와 사상 |,윤리와 사상,,
generation-for-nlp-881,국어 | 화법과 작문,국어,화법과 작문,
generation-for-nlp-882,국어 | 독서,국어,독서,
generation-for-nlp-883,국어 | 화법과 작문,국어,화법과 작문,
generation-for-nlp-884,국어 | 문학,국어,문학,
generation-for-nlp-885,국어 | 독서,국어,독서,
generation-for-nlp-886,국어 | 화법과 작문,국어,화법과 작문,
generation-for-nlp-887,국어 | 화법과 작문,국어,화법과 작문,
generation-for-nlp-888,국어 | 문학,국어,문학,
generation-for-nlp-889,국어 | 화법과 작문,국어,화법과 작문,
generation-for-nlp-890,국어 | 화법과 작문,국어,화법과 작문,
generation-for-nlp-892,국어 | 화법과 작문,국어,화법과 작문,
generation-for-nlp-893,사회·문화 | 사회조사,사회·문화,사회조사,
generation-for-nlp-894,국어 | 문학,국어,문학,
generation-for-nlp-895,사회탐구 | 사회·문화,사회탐구,사회·문화,
generation-for-nlp-896,국어 | 화법과 작문,국어,화법과 작문,
generation-for-nlp-897,국어 | 화법과 작문,국어,화법과 작문,
generation-for-nlp-898,국어 | 화법과 작문,국어,화법과 작문,
generation-for-nlp-899,사회·문화 | 사회·문화,사회·문화,사회·문화,
generation-for-nlp-900,국어 | 화법과 작문,국어,화법과 작문,
generation-for-nlp-901,사회탐구 | 윤리와 사상,사회탐구,윤리와 사상,
generation-for-nlp-902,국어 | 화법과 작문,국어,화법과 작문,
